"Ref","Name","Location","Type"
"K-0255","St. Johns","US-FL","National Wildlife Refuge"
"K-0256","St. Marks","US-FL","National Wildlife Refuge"
"K-0257","St. Vincent","US-FL","National Wildlife Refuge"
"K-0258","Ten Thousand Islands","US-FL","National Wildlife Refuge"
"K-0259","Banks Lake","US-GA","National Wildlife Refuge"
"K-0260","Blackbeard Island","US-GA","National Wildlife Refuge"
"K-0261","Bond Swamp","US-GA","National Wildlife Refuge"
"K-0262","Harris Neck","US-GA","National Wildlife Refuge"
"K-0263","Okefenokee","US-FL","National Wildlife Refuge"
"K-0264","Piedmont","US-GA","National Wildlife Refuge"
"K-0265","Pinckney Island","US-SC","National Wildlife Refuge"
"K-0266","Wassaw","US-GA","National Wildlife Refuge"
"K-0267","Wolf Island","US-GA","National Wildlife Refuge"
"K-0268","Desoto","US-IA","National Wildlife Refuge"
"K-0269","Driftless Area","US-IA","National Wildlife Refuge"
"K-0270","Iowa","US-IA","Wetland Management District"
"K-0271","Neal Smith","US-IA","National Wildlife Refuge"
"K-0272","Port Louisa","US-IL","National Wildlife Refuge"
"K-0273","Union Slough","US-IA","National Wildlife Refuge"
"K-0274","Bear Lake","US-ID","National Wildlife Refuge"
"K-0275","Camas","US-ID","National Wildlife Refuge"
"K-0276","Deer Flat","US-ID","National Wildlife Refuge"
"K-0277","Grays Lake","US-ID","National Wildlife Refuge"
"K-0278","Kootenai","US-ID","National Wildlife Refuge"
"K-0279","Minidoka","US-ID","National Wildlife Refuge"
"K-0280","Oxford Slough","US-ID","Waterfowl Production Area"
"K-0281","Chautauqua","US-IL","National Wildlife Refuge"
"K-0282","Crab Orchard","US-IL","National Wildlife Refuge"
"K-0283","Cypress Creek","US-IL","National Wildlife Refuge"
"K-0284","Emiquon","US-IL","National Wildlife Refuge"
"K-0285","Meredosia","US-IL","National Wildlife Refuge"
"K-0286","Middle Mississippi River","US-IL","National Wildlife Refuge"
"K-0287","Two Rivers","US-IL","National Wildlife Refuge"
"K-0288","Big Oaks","US-IN","National Wildlife Refuge"
"K-0289","Muscatatuck","US-IN","National Wildlife Refuge"
"K-0290","Patoka River","US-IN","National Wildlife Refuge and Management Area"
"K-0291","Flint Hills","US-KS","National Wildlife Refuge"
"K-0292","Kirwin","US-KS","National Wildlife Refuge"
"K-0293","Marais Des Cygnes","US-KS","National Wildlife Refuge"
"K-0294","Quivira","US-KS","National Wildlife Refuge"
"K-0295","Clarks River","US-KY","National Wildlife Refuge"
"K-0296","Atchafalaya","US-LA","National Wildlife Refuge"
"K-0297","Bayou Cocodrie","US-LA","National Wildlife Refuge"
"K-0298","Bayou Sauvage","US-LA","National Wildlife Refuge"
"K-0299","Bayou Teche","US-LA","National Wildlife Refuge"
"K-0300","Big Branch Marsh","US-LA","National Wildlife Refuge"
"K-0301","Black Bayou Lake","US-LA","National Wildlife Refuge"
"K-0302","Bogue Chitto","US-LA","National Wildlife Refuge"
"K-0303","Breton","US-LA","National Wildlife Refuge"
"K-0304","Cameron Praire","US-LA","National Wildlife Refuge"
"K-0305","Cat Island","US-LA","National Wildlife Refuge"
"K-0306","Catahoula","US-LA","National Wildlife Refuge"
"K-0307","D'Arbonne","US-LA","National Wildlife Refuge"
"K-0308","Delta","US-LA","National Wildlife Refuge"
"K-0309","Grand Cote","US-LA","National Wildlife Refuge"
"K-0310","Handy Brake","US-LA","National Wildlife Refuge"
"K-0311","Lacassine","US-LA","National Wildlife Refuge"
"K-0312","Lake Ophelia","US-LA","National Wildlife Refuge"
"K-0313","Louisiana","US-LA","Wetland Management District"
"K-0314","Mandalay","US-LA","National Wildlife Refuge"
"K-0315","Red River","US-LA","National Wildlife Refuge"
"K-0316","Sabine","US-LA","National Wildlife Refuge"
"K-0317","Shell Keys","US-LA","National Wildlife Refuge"
"K-0318","Tensas River","US-LA","National Wildlife Refuge"
"K-0319","Upper Ouachita","US-LA","National Wildlife Refuge"
"K-0320","Assabet River","US-MA","National Wildlife Refuge"
"K-0321","Great Meadows","US-MA","National Wildlife Refuge"
"K-0322","Mashpee","US-MA","National Wildlife Refuge"
"K-0323","Massasoit","US-MA","National Wildlife Refuge"
"K-0324","Monomoy","US-MA","National Wildlife Refuge"
"K-0325","Nantucket","US-MA","National Wildlife Refuge"
"K-0326","Nomans Land Island","US-MA","National Wildlife Refuge"
"K-0327","Oxbow","US-MA","National Wildlife Refuge"
"K-0328","Parker River","US-MA","National Wildlife Refuge"
"K-0329","Silvio O Conte","US-VT","National Wildlife Refuge"
"K-0330","Thatcher Island","US-MA","National Wildlife Refuge"
"K-0331","Blackwater","US-MD","National Wildlife Refuge"
"K-0332","Eastern Neck","US-MD","National Wildlife Refuge"
"K-0333","Martin","US-MD","National Wildlife Refuge"
"K-0334","Patuxent","US-MD","Wildlife Research Refuge"
"K-0335","Susquehanna","US-MD","National Wildlife Refuge"
"K-0336","Aroostook","US-ME","National Wildlife Refuge"
"K-0337","Carlton Pond","US-ME","Waterfowl Production Area"
"K-0338","Cross Island","US-ME","National Wildlife Refuge"
"K-0339","Franklin Island","US-ME","National Wildlife Refuge"
"K-0341","Moosehorn","US-ME","National Wildlife Refuge"
"K-0342","Pond Island","US-ME","National Wildlife Refuge"
"K-0343","Rachel Carson","US-ME","National Wildlife Refuge"
"K-0344","Seal Island","US-ME","National Wildlife Refuge"
"K-0345","Sunkhaze Meadows","US-ME","National Wildlife Refuge"
"K-0346","Detroit River","US-MI","National Wildlife Refuge"
"K-0347","Harbor Island","US-MI","National Wildlife Refuge"
