"Ref","Name","Location","Type"
"K-3459","Leland Stanford Mansion","US-CA","State Historical Park"
"K-3460","Leucadia","US-CA","State Beach"
"K-3461","Lighthouse Field","US-CA","State Beach"
"K-3462","Los Angeles","US-CA","State Historical Park"
"K-3463","Los Encinos","US-CA","State Historical Park"
"K-3464","Los Osos Oaks","US-CA","State Natural Reserve"
"K-3465","Mailliard Redwoods","US-CA","State Natural Reserve"
"K-3466","Malakoff Diggins","US-CA","State Historic Park"
"K-3467","Mandalay","US-CA","State Beach"
"K-3468","Malibu Lagoon","US-CA","State Beach"
"K-3469","Manresa","US-CA","State Beach"
"K-3470","Marconi Conference Center","US-CA","State Historic Park"
"K-3471","Marina","US-CA","State Beach"
"K-3472","Marshall Gold Discovery","US-CA","State Historic Park"
"K-3473","Martial Cottle Park","US-CA","State Recreational Area"
"K-3474","Mono Lake Tufa","US-CA","State Natural Reserve"
"K-3475","Montara","US-CA","State Beach"
"K-3476","Monterey","US-CA","State Historic Park"
"K-3477","Monterey","US-CA","State Beach"
"K-3478","Montgomery Woods","US-CA","State Natural Reserve"
"K-3479","Moonlight","US-CA","State Beach"
"K-3480","Morro Strand","US-CA","State Beach"
"K-3481","Moss Landing","US-CA","State Beach"
"K-3482","Natural Bridges","US-CA","State Beach"
"K-3483","Atlanta Marsh","US-NE","National Wildlife Management Area"
"K-3484","Gosper","US-NE","National Wildlife Management Area"
"K-3485","Jensen Lagoon","US-NE","National Wildlife Management Area"
"K-3486","Moger Lagoon","US-NE","National Wildlife Management Area"
"K-3487","DeSoto (NE)","US-NE","National Wildlife Refuge"
"K-3488","Alberding Lagoon","US-NE","National Wildlife Management Area"
"K-3489","Massie","US-NE","Federal Waterfowl Production Area"
"K-3490","Smith Lagoon","US-NE","National Wildlife Management Area"
"K-3491","Lake Wanahoo","US-NE","State Recreation Area"
"K-3492","Willa Cather Memorial Prairie","US-NE","National Historic Landmark"
"K-3493","Nine Mile Prairie","US-NE","National Historic Place"
"K-3494","Albert and Bessie Kronkosky","US-TX","State Natural Area"
"K-3495","Battleship Texas","US-TX","State Historic Site"
"K-3496","Davis Hill","US-TX","State Park"
"K-3497","Devil's Sinkhole","US-TX","State Natural Area"
"K-3498","Devils River","US-TX","State Natural Area"
"K-3499","Enchanted Rock","US-TX","State Natural Area"
"K-3500","Fanthorp Inn","US-TX","State Historic Site"
"K-3501","Fort Leaton","US-TX","State Historic Site"
"K-3502","Goliad","US-TX","State Historic Site"
"K-3503","Government Canyon","US-TX","State Natural Area"
"K-3504","Hill Country","US-TX","State Natural Area"
"K-3505","Honey Creek","US-TX","State Natural Area"
"K-3506","Lipantitlan","US-TX","State Historic Site"
"K-3507","Lost Maples","US-TX","State Natural Area"
"K-3508","Monument Hill and Kreische Brewery","US-TX","State Historic Site"
"K-3509","Port Isabel Lighthouse","US-TX","State Historic Site"
"K-3510","Powderhorn Ranch","US-TX","State Wildlife Area"
"K-3511","San Jacinto Battleground","US-TX","State Historic Site"
"K-3512","Washington on the Brazos","US-TX","State Historic Site"
"K-3513","David Berger","US-OH","National Memorial"
"K-3514","Fort Miamis Fallen Timbers Battlefield","US-OH","National Historic Site"
"K-3515","Lake Milton","US-OH","State Park"
"K-3516","Wingfoot Lake","US-OH","State Park"
"K-3517","North Bass Island","US-OH","State Park"
"K-3518","Middle Bass Island","US-OH","State Park"
"K-3519","MarbleHead Lighthouse","US-OH","State Park"
"K-3520","Muskingum River","US-OH","State Park"
"K-3521","Navarro River Redwoods","US-CA","State Park"
"K-3522","New Brighton","US-CA","State Beach"
"K-3523","Oceano Dunes","US-CA","State Vehicular Recreation Area"
"K-3524","Ocotillo Wells","US-CA","State Vehicular Recreation Area"
"K-3525","Old Sacramento","US-CA","State Historic Park"
"K-3526","Old Town San Diego","US-CA","State Historic Park"
"K-3527","Olompali","US-CA","State Historic Park"
"K-3528","Pacific","US-CA","State Beach"
"K-3529","Pelican","US-CA","State Beach"
"K-3530","Pescadero","US-CA","State Beach"
"K-3531","Petaluma Adobe","US-CA","State Historic Park"
"K-3532","Picacho","US-CA","State Recreation Area"
"K-3533","Pigeon Point Light Station","US-CA","State Historic Park"
"K-3534","Pio Pico","US-CA","State Historic Park"
"K-3535","Pismo","US-CA","State Beach"
"K-3536","Point Cabrillo Lighthouse","US-CA","State Historic Park"
"K-3537","Point Dume","US-CA","State Beach"
"K-3538","Point Lobos Ranch","US-CA","Park Property"
"K-3539","Point Lobos","US-CA","State Natural Reserve"
"K-3540","Point Montara Light Station","US-CA","State Historic Park"
"K-3541","Point Sal","US-CA","State Beach"
"K-3542","Point Sur","US-CA","State Historic Park"
"K-3543","Pomponio","US-CA","State Beach"
"K-3544","Prairie City","US-CA","State Vehicular Recreation Area"
"K-3545","Railtown 1897","US-CA","State Historic Park"
"K-3546","Refugio","US-CA","State Beach"
"K-3547","Reynolds Wayside Campground","US-CA","Park Property"
"K-3548","Rio de Los Angeles","US-CA","State Park"
"K-3549","Robert H. Meyer Memorial","US-CA","State Beach"
"K-3550","Robert W. Crown Memorial","US-CA","State Beach"
"K-3551","Salinas River","US-CA","State Beach"
"K-3552","Salton Sea","US-CA","State Recreation Area"
"K-3553","San Buenaventura","US-CA","State Beach"
"K-3554","San Clemente","US-CA","State Beach"
"K-3555","San Elijo","US-CA","State Beach"
"K-3556","San Gregorio","US-CA","State Beach"
"K-3557","San Juan Bautista","US-CA","State Historic Park"
"K-3558","San Luis Reservoir","US-CA","State Recreation Area"
"K-3559","San Onofre","US-CA","State Beach"
"K-3560","San Pasqual Battlefield","US-CA","State Historic Park"
"K-3561","San Timoteo Canyon","US-CA","Park Property"
"K-3562","Santa Cruz Mission","US-CA","State Historic Park"
"K-3563","Santa Monica","US-CA","State Beach"
"K-3564","Santa Susana Pass","US-CA","State Historic Park"
"K-3565","Schooner Gulch","US-CA","State Beach"
"K-3566","Seacliff","US-CA","State Beach"
"K-3567","Shasta","US-CA","State Historic Park"
"K-3568","Silver Strand","US-CA","State Beach"
"K-3569","Silverwood Lake","US-CA","State Recreation Area"
"K-3570","Sonoma","US-CA","State Historic Park"
"K-3571","Standish-Hickey","US-CA","State Recreation Area"
"K-3572","State Indian","US-CA","Museum"
"K-3573","Stone Lake","US-CA","Park Property"
"K-3574","Sunset","US-CA","State Beach"
"K-3575","Sutter's Fort","US-CA","State Historic Park"
"K-3576","Tahoe","US-CA","State Recreation Area"
"K-3577","Thronton","US-CA","State Beach"
"K-3578","Tijuana Estuary","US-CA","State Natural Reserve"
"K-3579","Tomo-Kahni","US-CA","State Historic Park"
"K-3580","Torrey Pines","US-CA","State Beach"
"K-3581","Torrey Pines","US-CA","State Natural Reserve"
"K-3582","Trinidad","US-CA","State Beach"
"K-3583","Tule Elk","US-CA","State Natural Reserve"
"K-3584","Turlock Lake","US-CA","State Recreation Area"
"K-3585","Twin Lakes","US-CA","State Beach"
"K-3586","Verdugo Mountains","US-CA","Park Property"
"K-3587","Ward Creek","US-CA","Project"
"K-3588","Wassama Round House","US-CA","State Historic Park"
"K-3589","Watts Towers of Simon Rodia","US-CA","State Historic Park"
"K-3590","Weaverville Joss House","US-CA","State Historic Park"
"K-3591","Westport-Union Landing","US-CA","State Beach"
"K-3592","Wilder Ranch","US-CA","State Park"
"K-3593","Wildwood Canyon","US-CA","State Park"
"K-3594","Will Rogers","US-CA","State Beach"
"K-3595","Will Rogers","US-CA","State Historic Park"
"K-3596","William B. Ide Adobe","US-CA","State Historic Park"
"K-3597","Woodland Opera House","US-CA","State Historic Park"
"K-3598","Woodson Bridge","US-CA","State Recreation Area"
"K-3599","Zmudowski","US-CA","State Beach"
"K-3600","Bladon Springs","US-AL","State Park"
"K-3601","Tannehill Ironworks","US-AL","State Historical Park"
"K-3602","Birmingham Civil Rights","US-AL","National Monument"
"K-3603","Freedom Riders","US-AL","National Monument"
"K-3604","Addison Blockhouse","US-FL","State Park"
"K-3605","Allen David Broussard Catfish Creek Preserve","US-FL","State Park"
"K-3606","Anclote Key Preserve","US-FL","State Park"
"K-3607","Beker-Wingate Creek","US-FL","State Park"
"K-3608","Blackwater","US-FL","State Park"
"K-3609","Bulow Plantation Ruins","US-FL","State Park"
"K-3610","Cedar Key Museum","US-FL","State Park"
"K-3611","Cedar Key Scrub","US-FL","State Reserve"
"K-3612","Charlotte Harbor Preserve","US-FL","State Park"
"K-3613","Cockroach Bay Preserve","US-FL","State Park"
"K-3614","Crystal River Preserve","US-FL","State Park"
"K-3615","Dade Battlefield","US-FL","State Park"
"K-3616","Dudley Farm","US-FL","State Park"
"K-3617","Estero Bay Preserve","US-FL","State Park"
"K-3618","Fakahatchee Strand Preserve","US-FL","State Park"
"K-3619","Fernandina Plaza","US-FL","State Historic Site"
"K-3620","Florida Keys Overseas","US-FL","State Heritage Trail"
"K-3621","Fort Foster","US-FL","State Historic Site"
"K-3622","Fort Mose","US-FL","State Park"
"K-3623","Fort Zachary Taylor","US-FL","State Park"
"K-3624","Gainesville-Hawthorne","US-FL","State Trail"
"K-3625","Gamble Plantation","US-FL","State Park"
"K-3626","Gamble Rogers Memorial","US-FL","State Recreation Area"
"K-3627","General James A. Van Fleet","US-FL","State Trail"
"K-3628","George Crady Bridge Fishing Pier","US-FL","State Park"
"K-3629","Haw Creek Preserve","US-FL","State Park"
"K-3630","Indian Key","US-FL","State Park"
"K-3631","Indian River Lagoon","US-FL","State Park"
"K-3632","Kissimmee Prairie Preserve","US-FL","State Park"
"K-3633","Koreshan","US-FL","State Historic Site"
"K-3634","Lower Wekiva River Preserve","US-FL","State Park"
"K-3635","Madira Bickel Mound","US-FL","State Archeological Site"
"K-3636","Madison Blue Spring","US-FL","State Park"
"K-3637","Marjorie Harris Carr Cross","US-FL","State Greenway"
"K-3638","Marjorie Kinnan Rawlings","US-FL","State Park"
"K-3639","Natural Bridge Battlefield","US-FL","State Park"
"K-3640","Nature Coast","US-FL","State Trail"
"K-3641","Okeechobee Battlefield","US-FL","State Park"
"K-3642","Olustee Battlefield","US-FL","State Park"
"K-3643","Orman House","US-FL","State Park"
"K-3644","Palatka-St. Augustine","US-FL","State Trail"
"K-3645","Palatka-to-Lake Butler","US-FL","State Trail"
"K-3646","Paynes Creek","US-FL","State Park"
"K-3647","Paynes Prairie Preserve","US-FL","State Park"
"K-3648","Pumpkin Hill Creek Preserve","US-FL","State Park"
"K-3649","River Rise Preserve","US-FL","State Park"
"K-3650","Rock Springs Run","US-FL","State Reserve"
"K-3651","San Felasco Hammock Preserve","US-FL","State Park"
"K-3652","San Marcos de Apalache","US-FL","State Park"
"K-3653","San Pedro Underwater Archaeological Preserve","US-FL","State Park"
"K-3654","Savannas Preserve","US-FL","State Park"
"K-3655","Seabranch Preserve","US-FL","State Park"
"K-3656","South Fork","US-FL","State Park"
"K-3657","St. Lucie Inlet Preserve","US-FL","State Park"
"K-3658","St. Marks River Preserve","US-FL","State Park"
"K-3659","St. Sebastian River Preserve","US-FL","State Park"
"K-3660","Suwannee River Wilderness","US-FL","State Trail"
"K-3661","Tallahassee-St. Marks Historic Railroad","US-FL","State Trail"
"K-3662","Tarkiln Bayou Preserve","US-FL","State Park"
"K-3663","Terra Ceia Preserve","US-FL","State Park"
"K-3664","Topsail Hill Preserve","US-FL","State Park"
"K-3665","Waccasassa Bay Preserve","US-FL","State Park"
"K-3666","Weeki Wachee Springs","US-FL","State Park"
"K-3667","Withlacoochee","US-FL","State Trail"
"K-3668","Ybor City Museum","US-FL","State Park"
"K-3669","Yellow Bluff Fort","US-FL","State Park"
"K-3670","Yellow River Marsh Preserve","US-FL","State Park"
"K-3671","Yulee Sugar Mill Ruins","US-FL","State Park"
"K-3672","Fool Hallow Lake","US-AZ","State Recreation Area"
"K-3673","Tallgrass Prairie","US-KS","National Preserve"
"K-3674","Paris Springs","US-MO","Access"
"K-3675","Chickasaw","US-OK","National Recreation Area"
"K-3676","Chickasaw","US-AL","State Park"
"K-3677","Paul M. Grist","US-AL","State Park"
"K-3678","Roland Cooper","US-AL","State Park"
"K-3679","Autauga","US-AL","Wildlife Management Area"
"K-3680","Barbour","US-AL","Wildlife Management Area"
"K-3681","Blowing Springs Cave","US-AL","Species Preservation"
"K-3682","Cheaha","US-AL","Wilderness"
"K-3683","Choccolocco","US-AL","Wildlife Management Area"
"K-3684","Coon Creek","US-AL","Nature Preserve"
"K-3685","Coosa","US-AL","Wildlife Management Area"
"K-3686","David K. Nelson","US-AL","Wildlife Management Area"
"K-3687","Dugger Mountian","US-AL","Wilderness"
"K-3688","Fred T Stimpson","US-AL","Wildlife Management Area"
"K-3689","Freedom Hills","US-AL","Wildlife Management Area"
"K-3690","Geneva","US-AL","Wildlife Management Area"
"K-3691","Grand Bay Savanna Complex","US-AL","Wildlife Management Area"
"K-3692","Heron Bay and Portersville Bay","US-AL","Wetlands"
"K-3693","Hollins","US-AL","Wildlife Management Area"
"K-3694","James D Martin - Skyline","US-AL","Wildlife Management Area"
"K-3695","Lauderdale","US-AL","Wildlife Management Area"
"K-3696","Lillian Swamp Complex","US-AL","Nature Preserve"
"K-3697","Lowndes","US-AL","Wildlife Management Area"
"K-3698","Mallard-Fox Creek","US-AL","Wildlife Management Area"
"K-3699","Mobile-Tensaw Delta","US-AL","Wildlife Management Area"
"K-3700","Perdido River","US-AL","Wildlife Management Area"
"K-3701","Pike County Pocosin Complex","US-AL","State Conservation Area"
"K-3702","Red Hills Complex","US-AL","Nature Preserve"
"K-3703","Ruffner Mountain","US-AL","Nature Preserve"
"K-3704","Sam R Murphy","US-AL","Wildlife Management Area"
"K-3705","Shoal Creek","US-AL","Preserve"
"K-3706","Sipsey","US-AL","Wilderness"
"K-3707","Sipsey River Complex","US-AL","Nature Preserve"
"K-3708","Splinter Hill Bog Complex","US-AL","Nature Preserve"
"K-3709","Turkey Creek Nature Preserve","US-AL","Nature Preserve"
"K-3710","Upper Delta","US-AL","Wildlife Management Area"
"K-3711","Weeks Bay Reserve","US-AL","National Estuarine Research Reserve"
"K-3712","Wehle","US-AL","Nature Preserve"
"K-3713","William R. Ireland, Sr. - Cahaba River","US-AL","Wildlife Management Area"
"K-3714","Yates Lake","US-AL","Wildlife Management Area"
"K-3715","Etowah Indian Mounds Historic Site","US-GA","State Historic Site"
"K-3716","Fort King George Historic Site","US-GA","State Historic Site"
"K-3717","Fort Morris Historic Site","US-GA","State Historic Site"
"K-3718","Hardman Farm Historic Site","US-GA","State Historic Site"
"K-3719","Hofwyl-Broadfield Plantation Historic Site","US-GA","State Historic Site"
"K-3720","Jarrell Plantation Historic Site","US-GA","State Historic Site"
"K-3721","Jefferson Davis Memorial Historic Site","US-GA","State Historic Site"
"K-3722","New Echota Historic Site","US-GA","State Historic Site"
"K-3723","Pickett's Mill Battlefield Historic Site","US-GA","State Historic Site"
"K-3724","Roosevelt's Little White House Historic Site","US-GA","State Historic Site"
"K-3725","Wormsloe Historic Site","US-GA","State Historic Site"
"K-3726","Kolomoki Mounds State Park","US-GA","State Park"
"K-3727","Hart Outdoor Recreation Area","US-GA","State Recreation Area"
"K-3728","Providence Canyon Outdoor Recreation Area","US-GA","State Recreation Area"
"K-3729","Rocky Mountain Recreation and Public Fishing Area","US-GA","State Recreation Area"
"K-3730","Altamaha","US-GA","Wildlife Management Area"
"K-3731","B.F. Grant","US-GA","Wildlife Management Area"
"K-3732","Bartram","US-GA","Wildlife Management Area"
"K-3733","Beaverdam","US-GA","Wildlife Management Area"
"K-3734","Berry College","US-GA","Wildlife Management Area"
"K-3735","Big Hammock","US-GA","Wildlife Management Area"
"K-3736","Blanton Creek","US-GA","Wildlife Management Area"
"K-3737","Bullard Creek","US-GA","Wildlife Management Area"
"K-3738","Cedar Creek","US-GA","Wildlife Management Area"
"K-3739","Chickasawhatchee","US-GA","Wildlife Management Area"
"K-3740","Clayhole Swamp","US-GA","Wildlife Management Area"
"K-3741","Coosawattee","US-GA","Wildlife Management Area"
"K-3742","Crockford-Pigeon Mountain","US-GA","Wildlife Management Area"
"K-3743","Dawson Forest","US-GA","Wildlife Management Area"
"K-3744","Di-Lane Plantation","US-GA","Wildlife Management Area"
"K-3745","Dixon Bay Tract","US-GA","Wildlife Management Area"
"K-3746","Dixon Memorial","US-GA","Wildlife Management Area"
"K-3747","Elbert County","US-GA","Wildlife Management Area"
"K-3748","Elmodel","US-GA","Wildlife Management Area"
"K-3749","Flat Tub","US-GA","Wildlife Management Area"
"K-3750","Flint River","US-GA","Wildlife Management Area"
"K-3751","Grand Bay","US-GA","Wildlife Management Area"
"K-3752","Griffin Ridge","US-GA","Wildlife Management Area"
"K-3753","Hannahatchee","US-GA","Wildlife Management Area"
"K-3754","Hart County","US-GA","Wildlife Management Area"
"K-3755","Horse Creek","US-GA","Wildlife Management Area"
"K-3756","J.L. Lester","US-GA","Wildlife Management Area"
"K-3757","Joe Kurz","US-GA","Wildlife Management Area"
"K-3758","John's Mountain","US-GA","Wildlife Management Area"
"K-3759","Little Satilla","US-GA","Wildlife Management Area"
"K-3760","Mayhaw","US-GA","Wildlife Management Area"
"K-3761","Oaky Woods","US-GA","Wildlife Management Area"
"K-3762","Ocmulgee","US-GA","Wildlife Management Area"
"K-3763","Oconee","US-GA","Wildlife Management Area"
"K-3764","Oliver Bridge","US-GA","Wildlife Management Area"
"K-3765","Ossabaw Island Heritage","US-GA","Wildlife Management Area"
"K-3766","Paulks Pasture","US-GA","Wildlife Management Area"
"K-3767","Penholoway Swamp","US-GA","Wildlife Management Area"
"K-3768","Phinizy Swamp","US-GA","Wildlife Management Area"
"K-3769","River Bend","US-GA","Wildlife Management Area"
"K-3770","River Creek - The Rolf and Alexandra Kauka","US-GA","Wildlife Management Area"
"K-3771","Rogers","US-GA","Wildlife Management Area"
"K-3772","Rum Creek","US-GA","Wildlife Management Area"
"K-3773","Sansavilla","US-GA","Wildlife Management Area"
"K-3774","Sapelo Island","US-GA","Wildlife Management Area"
"K-3775","Silver Lake","US-GA","Wildlife Management Area"
"K-3776","Sprewell Bluff","US-GA","Wildlife Management Area"
"K-3777","Wilson Shoals","US-GA","Wildlife Management Area"
"K-3778","Yuchi","US-GA","Wildlife Management Area"
"K-3779","Big Bone Lick","US-KY","State Historic Site"
"K-3780","Boone Station","US-KY","State Historic Site"
"K-3781","Breaks Interstate Park","US-KY","State Park"
"K-3782","Dr. Thomas Walker","US-KY","State Historic Site"
"K-3783","Jefferson Davis","US-KY","State Historic Site"
"K-3784","Old Mulkey Meetinghouse","US-KY","State Historic Site"
"K-3785","Perryville Battlefield","US-KY","State Historic Site"
"K-3786","Waveland","US-KY","State Historic Site"
"K-3787","White Hall","US-KY","State Historic Site"
"K-3788","Wickliffe Mounds","US-KY","State Historic Site"
"K-3789","William Whitley House","US-KY","State Historic Site"
"K-3790","Fort Heiman","US-KY","National Battlefield"
"K-3791","Trail of Tears","US-KY","Commemorative Park"
"K-3792","Land Between the Lakes","US-KY","UNESCO-MAB Biosphere Reserve"
"K-3793","Ballard","US-KY","Wildlife Management Area"
"K-3794","Beaver Creek","US-KY","Wilderness"
"K-3795","Beechy Creek","US-KY","Wildlife Management Area"
"K-3796","Big Rivers","US-KY","WMA and State Forest"
"K-3797","Boatwright","US-KY","Wildlife Management Area"
"K-3798","Buck Creek","US-KY","Wildlife Management Area"
"K-3799","Burchell-Beech","US-KY","Wildlife Management Area"
"K-3800","Cedar Creek Lake","US-KY","Wildlife Management Area"
"K-3801","Clifty","US-KY","Wilderness"
"K-3802","Clyde E. Buckley Wildlife Sanctuary and Audubon Center","US-KY","Wildlife Sanctuary"
"K-3803","Coil Estate","US-KY","Wildlife Management Area"
"K-3804","Cranks Creek","US-KY","Wildlife Management Area"
"K-3805","Curtis Gates Lloyd","US-KY","Wildlife Management Area"
"K-3806","Dennis-Gray","US-KY","Wildlife Management Area"
"K-3807","Dix River","US-KY","Wildlife Management Area"
"K-3808","Doug Travis","US-KY","Wildlife Management Area"
"K-3809","Dr. James R. Rich","US-KY","Wildlife Management Area"
"K-3810","Dr. Norman And Martha Adair","US-KY","Wildlife Management Area"
"K-3811","Ed Mabry-Laurel Gorge","US-KY","Wildlife Management Area"
"K-3812","Fleming","US-KY","Wildlife Management Area"
"K-3813","Griffith Woods","US-KY","Wildlife Management Area"
"K-3814","Hensley-Pine Mountain","US-KY","Wildlife Management Area"
"K-3815","Higginson-Henry","US-KY","Wildlife Management Area"
"K-3816","John A. Kleber","US-KY","Wildlife Management Area"
"K-3817","John C. Williams","US-KY","Wildlife Management Area"
"K-3818","Jones-Keeney","US-KY","Wildlife Management Area"
"K-3819","Kaler Bottoms","US-KY","Wildlife Management Area"
"K-3820","Kentucky River","US-KY","Wildlife Management Area"
"K-3821","L. B. Davison","US-KY","Wildlife Management Area"
"K-3822","Lee K. Nelson","US-KY","Wildlife Management Area"
"K-3823","Livingston County","US-KY","Wildlife Management Area"
"K-3824","Marion County","US-KY","WMA and State Forest"
"K-3825","Miller Welch","US-KY","Wildlife Management Area"
"K-3826","Mullins","US-KY","Wildlife Management Area"
"K-3827","Obion Creek","US-KY","Wildlife Management Area"
"K-3828","Peabody","US-KY","Wildlife Management Area"
"K-3829","R. F. Tarter","US-KY","Wildlife Management Area"
"K-3830","Sloughs","US-KY","Wildlife Management Area"
"K-3831","South Shore","US-KY","Wildlife Management Area"
"K-3832","Stone Mountain","US-KY","Wildlife Management Area"
"K-3833","T. N. Sullivan","US-KY","Wildlife Management Area"
"K-3834","Tradewater","US-KY","Wildlife Management Area"
"K-3835","Twin Eagle","US-KY","Wildlife Management Area"
"K-3836","Veterans Memorial","US-KY","Wildlife Management Area"
"K-3837","West Kentucky","US-KY","Wildlife Management Area"
"K-3838","Winford","US-KY","Wildlife Management Area"
"K-3839","Yatesville Lake","US-KY","Wildlife Management Area"
"K-3840","Yellowbank","US-KY","Wildlife Management Area"
"K-3841","Falls Lake","US-NC","State Recreation Area"
"K-3842","Fort Fisher","US-NC","State Recreation Area"
"K-3843","Haw River at Iron Ore Access Belt","US-NC","State Park"
"K-3844","Jordan Lake","US-NC","State Recreation Area"
"K-3845","Kerr Lake","US-NC","State Recreation Area"
"K-3846","Mount Jefferson","US-NC","State Natural Area"
"K-3847","Occoneechee Mountain","US-NC","State Natural Area"
"K-3848","Weymouth Woods-Sandhills","US-NC","State Nature Preserve"
"K-3849","Bald Head Woods","US-NC","Coastal Reserve"
"K-3850","Bird Island","US-NC","Coastal Reserve"
"K-3851","Brumley Forest","US-NC","Nature Preserve"
"K-3852","Buxton Woods","US-NC","Coastal Reserve"
"K-3853","Emily and Richardson Preyer Buckridge","US-NC","Coastal Reserve"
"K-3854","Flower Hill","US-NC","Nature Preserve"
"K-3855","Great Dismal Swamp","US-NC","National Wildlife Refuge"
"K-3856","Hoke County Community","US-NC","Forest"
"K-3857","Horton Grove","US-NC","Nature Preserve"
"K-3858","Joe/Little Joe Mountain","US-NC","Wildlife Sanctuary"
"K-3859","Johnston Mill","US-NC","Nature Preserve"
"K-3860","Kitty Hawk Woods","US-NC","Preserve"
"K-3861","Little River","US-NC","Regional Park and Natural Area"
"K-3862","Nags Head Woods Ecological","US-NC","Preserve"
"K-3863","Palmetto-Peartree","US-NC","Preserve"
"K-3864","Permuda Island","US-NC","Coastal Reserve"
"K-3865","Roanoke Island Marshes","US-NC","Game Land"
"K-3866","Selma Cornelison Ward","US-NC","Nature Preserve"
"K-3867","Swift Creek Bluffs","US-NC","Nature Preserve"
"K-3868","Theodore Roosevelt","US-NC","Natural Area"
"K-3869","Three Top Mountain","US-NC","Game Land"
"K-3870","Van Swamp","US-NC","Game Land"
"K-3871","White Pines","US-NC","Nature Preserve"
"K-3872","Charles Towne Landing","US-SC","State Historic Site"
"K-3873","Colonial Dorchester","US-SC","State Historic Site"
"K-3874","H. Cooper Black Jr. Memorial","US-SC","State Recreation Area"
"K-3876","Hampton Plantation","US-SC","State Historic Site"
"K-3877","Keowee-Toxaway","US-SC","State Park"
"K-3878","Lake Greenwood","US-SC","State Park"
"K-3879","Lake Hartwell","US-SC","State Park"
"K-3880","Lake Wateree","US-SC","State Park"
"K-3881","Musgrove Mill","US-SC","State Historic Site"
"K-3882","Oconee Station","US-SC","State Historic Site"
"K-3883","Redcliffe Plantation","US-SC","State Historic Site"
"K-3884","Rivers Bridge","US-SC","State Historic Site"
"K-3885","Rose Hill Plantation","US-SC","State Historic Site"
"K-3886","Aiken Gopher Tortoise Heritage","US-SC","Wildlife Managment Area"
"K-3887","Bear Island","US-SC","Wildlife Managment Area"
"K-3888","Bonneau Ferry","US-SC","Wildlife Managment Area"
"K-3889","Botany Bay Plantation","US-SC","Wildlife Managment Area"
"K-3890","Buzzard Roost","US-SC","Wildlife Managment Area"
"K-3891","Campbells Crossroads and Angelus Tracts","US-SC","Wildlife Managment Area"
"K-3892","Chestnut Ridge","US-SC","Wildlife Managment Area"
"K-3893","Cliff Pitts","US-SC","Wildlife Managment Area"
"K-3894","Draper","US-SC","Wildlife Managment Area"
"K-3895","Eastatoe Creek","US-SC","Wildlife Managment Area"
"K-3896","Edisto River","US-SC","Wildlife Managment Area"
"K-3897","Fant's Grove","US-SC","Wildlife Managment Area"
"K-3898","Forty Acre Rock","US-SC","Wildlife Managment Area"
"K-3899","Great Pee Dee River","US-SC","Wildlife Managment Area"
"K-3900","Hamilton Ridge","US-SC","Wildlife Managment Area"
"K-3901","Hickory Top","US-SC","Wildlife Managment Area"
"K-3902","James L. Mason","US-SC","Wildlife Managment Area"
"K-3903","Lewis Ocean Bay","US-SC","Wildlife Managment Area"
"K-3904","Longleaf Pine","US-SC","Wildlife Managment Area"
"K-3905","Marsh","US-SC","Wildlife Managment Area"
"K-3906","Old Island","US-SC","Wildlife Managment Area"
"K-3907","Pee Dee Station Site","US-SC","Wildlife Managment Area"
"K-3908","Samworth","US-SC","Wildlife Managment Area"
"K-3909","Santee Cooper Tract","US-SC","Wildlife Managment Area"
"K-3910","Santee Cooper","US-SC","Wildlife Managment Area"
"K-3911","Stevens Creek","US-SC","Wildlife Managment Area"
"K-3912","Thurmond Tract","US-SC","Wildlife Managment Area"
"K-3913","Tillman Sand Ridge","US-SC","Wildlife Managment Area"
"K-3914","Cathedral Bay","US-SC","Heritage Preserve"
"K-3915","Long Branch Bay","US-SC","Heritage Preserve"
"K-3916","Congaree Bluffs","US-SC","Heritage Preserve"
"K-3917","Little Pee Dee State Park Bay","US-SC","Heritage Preserve"
"K-3918","Savage Bay","US-SC","Heritage Preserve"
"K-3919","Congaree Creek","US-SC","Heritage Preserve"
"K-3920","Nipper Creek","US-SC","Heritage Preserve"
"K-3921","Pacolet River","US-SC","Heritage Preserve"
"K-3922","Radnor Lake","US-TN","State Park and Natural Area"
"K-3923","Bone Cave","US-TN","State Natural Area"
"K-3924","Cedars of Lebanon","US-TN","State Forest"
"K-3925","Vesta Cedar Glade","US-TN","State Natural Area"
"K-3926","Bean Switch Refuge","US-TN","Wildlife Management Area"
"K-3927","Bogota","US-TN","Wildlife Management Area"
"K-3928","Bridgestone/firestone Centennial Wilderness","US-TN","Wildlife Management Area"
"K-3929","Buffalo Springs","US-TN","Wildlife Management Area"
"K-3930","Camden","US-TN","Wildlife Management Area"
"K-3931","Catoosa","US-TN","Wildlife Management Area"
"K-3932","Cedar Hill Swamp","US-TN","Wildlife Management Area"
"K-3933","Cheatham","US-TN","Wildlife Management Area"
"K-3934","Chickasaw SF and WMA","US-TN","State Wildlife Management Area"
"K-3935","Chuck Swan","US-TN","Wildlife Management Area"
"K-3936","Cowan Marsh","US-TN","State Wildlife Management Area"
"K-3937","Eagle Lake Refuge","US-TN","Wildlife Management Area"
"K-3938","Ernest Rice","US-TN","Wildlife Management Area"
"K-3939","Forks Of The River","US-TN","Wildlife Management Area"
"K-3940","Gooch","US-TN","Wildlife Management Area"
